Gene Name,correlation.E-score,pvalue.E-score,adjpvalue.E-score,MME Biomarkers(Reference),Gene Name,correlation.S-score,pvalue.S-score,adjpvalue.S-score,MMS biomarkers(Reference)
C6orf130,0.467864118,0.00011043,0.001347902,,SMARCAL1,0.515418242,1.54E-05,0.000282403,
NCK1,0.46779162,0.000110738,0.00134996,,SS18L1,0.515322371,1.55E-05,0.000283405,
BICC1,0.467738628,0.000110963,0.0013514,,ECSCR,0.515111061,1.56E-05,0.000285876,
KLHL7-AS1,0.466828524,0.000114906,0.001395521,,ZUFSP,0.514537328,1.60E-05,0.000292626,
PA2G4P4,0.466825401,0.000114919,0.001395521,,HIST1H2AH,0.514394952,1.61E-05,0.000293843,
ATP6AP1L,0.466809733,0.000114988,0.001395685,,SLC27A4,0.514193312,1.63E-05,0.000295842,
COA1,0.466666175,0.000115622,0.001402701,,GSK3A,0.514125193,1.63E-05,0.000296524,
RDH16,0.46652513,0.000116248,0.001408875,,EXOC3L2,0.5140977,1.63E-05,0.000296671,
ADAMTS3,0.466513624,0.000116299,0.001408875,,PLP2,0.514073017,1.64E-05,0.000296782,
RN5S364,0.466426681,0.000116687,0.001412889,,CACNA1C-IT3,0.513814049,1.66E-05,0.000299778,
SNORD20,0.466337513,0.000117086,0.001417034,,ZBTB34,0.513536939,1.68E-05,0.000303264,
C14orf176,0.466062693,0.000118322,0.001428561,,TPST1,0.513447948,1.68E-05,0.000304243,
PHACTR1,0.466014384,0.000118541,0.001430514,,JMJD6,0.513376496,1.69E-05,0.000304987,
CACNG4,0.465908015,0.000119023,0.001434961,,TTI2,0.513350363,1.69E-05,0.000305121,
LRBA,0.465692888,0.000120005,0.001443544,,TMEM185B,0.513195418,1.70E-05,0.000307,
AMY1A,0.46568105,0.000120059,0.001443544,,DCAF7,0.513077483,1.71E-05,0.000308385,
IQCK,0.465676571,0.00012008,0.001443544,,LOXL1,0.512967843,1.72E-05,0.000309218,
EXTL3,0.465016028,0.000123143,0.00147523,,ADCY7,0.512930307,1.72E-05,0.000309418,
TRIM78P,0.464996181,0.000123236,0.00147523,,CD99P1,0.512920883,1.72E-05,0.000309418,
NUDT16P1,0.464856532,0.000123893,0.001482293,,PRMT1,0.512606552,1.75E-05,0.000313075,
ID4,0.464817673,0.000124076,0.00148322,Lopez-Rios2006,NKRF,0.512507371,1.75E-05,0.000313976,
TMEM9,0.464815102,0.000124088,0.00148322,,CENPF,0.512493027,1.75E-05,0.000313976,
STAT6,0.464622127,0.000125003,0.001493443,,TMEM47,0.512462496,1.76E-05,0.000314176,
COX15,0.463900395,0.000128479,0.00153002,,EBP,0.512402727,1.76E-05,0.000314559,
MRPL45P2,0.463701289,0.000129454,0.001538569,,FOXP3,0.512287577,1.77E-05,0.000315937,
WDFY3-AS2,0.46354534,0.000130221,0.001546965,,TPST2,0.512159094,1.78E-05,0.000317507,
SCARB1,0.463385196,0.000131014,0.001554181,,EFR3A,0.511980735,1.80E-05,0.000319788,
MIR365B,0.463326038,0.000131308,0.001556935,,MXRA5,0.511936539,1.80E-05,0.000319958,
PEX5L-AS2,0.463046917,0.000132704,0.001570532,,PI4K2A,0.511912972,1.80E-05,0.000320064,
MESDC2,0.462387211,0.000136057,0.001605662,,S100A11,0.511614944,1.82E-05,0.000323835,
IFT80,0.462111096,0.000137483,0.001620972,,HCCS,0.511507651,1.83E-05,0.000324914,
TLCD2,0.461845459,0.000138868,0.001635001,,LY6K,0.511454305,1.84E-05,0.000325444,
LOC653160,0.461814706,0.000139029,0.001635367,,NRM,0.511375428,1.84E-05,0.000325963,
SLC24A1,0.461335803,0.000141561,0.00166049,,LYPD6B,0.511370105,1.84E-05,0.000325963,
MAK,0.461199614,0.000142289,0.001666693,,FAM126A,0.511272586,1.85E-05,0.000327134,
OSGEPL1-AS1,0.460868249,0.000144074,0.001682898,,MME-AS1,0.511154372,1.86E-05,0.000328608,
LTC4S,0.460708718,0.000144941,0.001689098,,ZDHHC18,0.511099405,1.87E-05,0.000329172,
ANO9,0.460475992,0.000146214,0.001700288,,TMSB10,0.510798185,1.89E-05,0.000333241,
EBAG9,0.460459054,0.000146307,0.001700288,,CHAF1A,0.510787845,1.89E-05,0.000333241,
GATAD1,0.46038293,0.000146726,0.001704368,,MIR219-2,0.510752472,1.89E-05,0.000333526,
RUFY2,0.460267181,0.000147365,0.001707845,,RASSF4,0.510651924,1.90E-05,0.000334668,
GAS1,0.460125798,0.000148149,0.001714822,,HELLS,0.510642722,1.90E-05,0.000334668,
CYTB,0.460121715,0.000148172,0.001714822,,RIN1,0.510616041,1.91E-05,0.000334826,
CCDC104,0.459968105,0.000149028,0.00172077,,DTL,0.510471137,1.92E-05,0.000336333,
LOC100507322,0.459882332,0.000149508,0.001724691,,PTTG1,0.510465961,1.92E-05,0.000336333,
PGM2,0.459870674,0.000149573,0.001724691,,KCNK6,0.510435978,1.92E-05,0.000336541,
PLXNA2,0.459778698,0.00015009,0.001729854,,PTDSS1,0.510065004,1.95E-05,0.000341109,
ACOX2,0.459710923,0.000150472,0.001732665,,NUF2,0.510047004,1.95E-05,0.000341141,
EZR,0.459564605,0.000151299,0.001741391,,CTSA,0.509969234,1.96E-05,0.000342068,
SRGAP2B,0.459022092,0.000154402,0.001769588,,TNFRSF10B,0.509292981,2.02E-05,0.000351853,
LINC00467,0.458979064,0.000154651,0.001770243,,PPP2R3B,0.509266495,2.02E-05,0.000352016,
CASK,0.458885276,0.000155194,0.001775652,,NCAPD2,0.509215508,2.03E-05,0.000352314,
ARL5A,0.458824901,0.000155544,0.001778459,,RUSC2,0.509074876,2.04E-05,0.00035424,
TMEM14A,0.458818668,0.000155581,0.001778459,,SQLE,0.509039358,2.04E-05,0.000354545,
BMPR1B,0.458582307,0.00015696,0.001790974,,DICER1,0.508947585,2.05E-05,0.000355478,
PPP1R16A,0.458543587,0.000157188,0.00179258,,HIST1H2AE,0.508904815,2.05E-05,0.000355897,
METTL20,0.458415714,0.00015794,0.001798338,,RRAD,0.508829964,2.06E-05,0.000356815,
FAM160A1,0.457858665,0.000161255,0.001831661,,C9orf69,0.508589456,2.08E-05,0.000360331,
PIH1D2,0.457704908,0.000162181,0.001840519,,ULK4-IT1,0.508413,2.10E-05,0.000362615,
PCNAP1,0.457670997,0.000162386,0.001842013,,ACAT2,0.508390908,2.10E-05,0.000362715,
LRG1,0.457614585,0.000162728,0.001845053,,PSMC3IP,0.508235202,2.12E-05,0.000364684,
RBAK,0.457396619,0.000164053,0.001855062,,CLIC1,0.508199743,2.12E-05,0.000364997,
GOLT1A,0.45726923,0.000164832,0.001860525,,STK25,0.507964932,2.14E-05,0.00036774,
MON2,0.457155707,0.00016553,0.001866719,,ZWINT,0.507946129,2.14E-05,0.00036779,
RN5S206,0.45689921,0.000167115,0.00188291,,MIR298,0.507715033,2.16E-05,0.000370983,
TRNAI2,0.456742048,0.000168093,0.001890543,,SMAD7,0.507676287,2.17E-05,0.000371119,
PACRGL,0.456518357,0.000169495,0.00190375,,FKRP,0.50688742,2.24E-05,0.000383273,
FOXO6,0.456217171,0.000171399,0.001919988,,BLMH,0.506777743,2.25E-05,0.000384679,
CEP112,0.456203679,0.000171485,0.001920093,,SLC12A2,0.506771668,2.25E-05,0.000384679,
BPTF,0.455853139,0.000173726,0.001942597,,UBE2NL,0.50668328,2.26E-05,0.000385894,
SNX33,0.455835399,0.00017384,0.001943009,,CDC42SE1,0.506637349,2.27E-05,0.000386225,
MALAT1,0.455684998,0.000174811,0.001952989,,FADS2,0.50663223,2.27E-05,0.000386225,
SLC43A2,0.455522106,0.000175868,0.00196218,,UBE2T,0.506437663,2.29E-05,0.000388968,
CLSTN3,0.455278992,0.000177456,0.00197639,,SMC1A,0.506368924,2.29E-05,0.000389601,
SLFN11,0.455139866,0.000178371,0.001985698,,TYMS,0.506296516,2.30E-05,0.000390561,
IFT88,0.455107202,0.000178586,0.001987216,,GRAP,0.506162184,2.31E-05,0.00039181,
RAB11B-AS1,0.455015723,0.000179191,0.00199306,,ZMYND19,0.506160423,2.31E-05,0.00039181,
SNORA59A,0.45472161,0.000181147,0.002010141,,C2CD3,0.50602272,2.33E-05,0.000393887,
DNAH10,0.454720696,0.000181153,0.002010141,,PSG5,0.505934814,2.34E-05,0.000395122,
PLEKHA4,0.454712751,0.000181206,0.002010141,,FMNL1,0.505872039,2.34E-05,0.000395929,
TNFRSF1A,0.454669666,0.000181494,0.00201206,,PDLIM1,0.50579976,2.35E-05,0.000396902,
ATP7A,0.454572193,0.000182148,0.002017551,,ATG4A,0.505725513,2.36E-05,0.000397911,
PPP1R9A,0.45434892,0.000183654,0.002031021,,FAR1,0.505608981,2.37E-05,0.000399607,
RAB40A,0.454336939,0.000183735,0.002031024,,BTBD3,0.505586764,2.37E-05,0.000399607,
RHPN1,0.454165978,0.000184896,0.002041166,,IPO9,0.505422848,2.39E-05,0.000401531,
LARP1B,0.453688061,0.000188178,0.00207466,,HMGA1,0.505018948,2.43E-05,0.000407774,
AMMECR1-IT1,0.45338013,0.00019032,0.002095314,,PIF1,0.504979102,2.44E-05,0.000407938,
LOC100506282,0.453370952,0.000190385,0.002095314,,AKIRIN2,0.504916641,2.44E-05,0.000408463,
ZNF334,0.453305793,0.000190841,0.002098499,,NTMT1,0.504839005,2.45E-05,0.000409245,
SND1,0.453192246,0.000191639,0.002105428,,GINS3,0.504741147,2.46E-05,0.000409952,
TRMT1L,0.453155738,0.000191896,0.002107332,,AKT1,0.504534171,2.48E-05,0.000413076,
GUSBP4,0.453093835,0.000192332,0.002111205,,PIP5K1C,0.504116823,2.53E-05,0.000419175,
FLJ33065,0.453063967,0.000192543,0.002112599,,SENP3-EIF4A1,0.503923266,2.55E-05,0.000421903,
SMUG1,0.45296684,0.000193231,0.002117295,,FCGR2A,0.503919955,2.55E-05,0.000421903,
LINC00174,0.452333608,0.00019777,0.002155832,,PLAC1,0.503867476,2.56E-05,0.000422578,
KIAA1984-AS1,0.45217924,0.000198891,0.002166728,,POFUT1,0.503821594,2.56E-05,0.000423133,
BSG,0.452172278,0.000198942,0.002166728,,THOP1,0.50368421,2.58E-05,0.000425079,
ABHD12B,0.452098256,0.000199482,0.002170726,,LIPG,0.503579055,2.59E-05,0.000426723,
ADCYAP1,0.452040996,0.0001999,0.002173665,Lopez-Rios2006;Bueno2016(Sup.Table 2-Top50),MEX3B,0.50334514,2.61E-05,0.000430745,
LOC728978,0.451919947,0.000200788,0.00218116,,CHMP7,0.503045474,2.65E-05,0.000435745,
GOLGA2P5,0.451026365,0.000207451,0.00224407,,RBM10,0.503024174,2.65E-05,0.000435858,
DOK4,0.450606505,0.000210651,0.002273566,,B3GALNT2,0.50297462,2.66E-05,0.000436183,
DPP6,0.449738388,0.000217412,0.002335502,,LRCH1,0.502960982,2.66E-05,0.000436183,
C13orf33,0.449662013,0.000218016,0.002340411,,PPP2R3C,0.502601932,2.70E-05,0.000442076,
IMMP2L-IT1,0.449633587,0.000218241,0.002340411,,CCNE2,0.502462626,2.71E-05,0.000443665,
WASH7P,0.449553057,0.00021888,0.002345266,,SLC41A1,0.502457247,2.71E-05,0.000443665,
MGC24103,0.449503376,0.000219276,0.002348083,,DNAJB4,0.502001349,2.77E-05,0.000451517,
BTF3L4,0.449437936,0.000219797,0.002352083,,MB21D2,0.501828627,2.79E-05,0.000454271,
RAB11FIP1,0.448975161,0.000223519,0.00238784,,RNF26,0.501650349,2.81E-05,0.000457148,
PLA2G16,0.448857673,0.000224473,0.002395995,,RASAL2-AS1,0.501495431,2.83E-05,0.00045942,
BET1,0.448738943,0.00022544,0.002404283,,HSF1,0.501476786,2.83E-05,0.00045942,
GTF2H1,0.44855633,0.000226936,0.002417733,,KLF12,0.50147357,2.83E-05,0.00045942,
NOL3,0.448505824,0.000227352,0.002420559,,SMYD4,0.50112422,2.87E-05,0.000465712,
PKD1L3,0.448394457,0.00022827,0.002428279,,DCPS,0.500846344,2.91E-05,0.000470952,
CASC1,0.448035453,0.000231253,0.002454821,,TOR1A,0.500811388,2.91E-05,0.00047135,
HINT3,0.447963019,0.00023186,0.002457106,,PPP4R1L,0.500776124,2.92E-05,0.000471754,
FTSJD1,0.447919125,0.000232228,0.002458934,,CD97,0.500739763,2.92E-05,0.000471959,
SLC22A18,0.447875078,0.000232598,0.002460263,,ANKRD30B,0.500726435,2.92E-05,0.000471959,
ENPP5,0.447869224,0.000232647,0.002460263,,BUB1B,0.500720609,2.92E-05,0.000471959,
LOC100131132,0.4478213,0.00023305,0.00246349,,SYMPK,0.500692282,2.93E-05,0.000472225,
MEGF6,0.447462642,0.000236088,0.002489526,,KCNN4,0.500648344,2.93E-05,0.000472805,
NFYB,0.447439639,0.000236284,0.002490067,,WSB2,0.500598262,2.94E-05,0.000473412,
ZBTB10,0.446955745,0.000240442,0.002523591,,NIPSNAP3A,0.500588024,2.94E-05,0.000473412,
TRAFD1,0.446872373,0.000241166,0.002529032,,SDC1,0.500550124,2.94E-05,0.000473849,
PTP4A2,0.446639628,0.000243195,0.002547166,,VPS53,0.500494087,2.95E-05,0.000474396,
LOC100129917,0.446593455,0.0002436,0.002549278,,NRAS,0.500393408,2.96E-05,0.000476126,
LOC286190,0.446570555,0.000243801,0.002549588,,MOB1A,0.500341072,2.97E-05,0.000476882,
NFXL1,0.446368554,0.000245579,0.00256465,,MND1,0.500320957,2.97E-05,0.000476985,
LCN2,0.446329569,0.000245923,0.002566116,,DEK,0.50028055,2.98E-05,0.000477196,
TMEM191C,0.446224299,0.000246856,0.002574778,,RHOA,0.500230689,2.98E-05,0.000477903,
MAST4-AS1,0.446161536,0.000247413,0.002577119,,ATAD2,0.499823373,3.04E-05,0.000485313,
ECI1,0.446157832,0.000247446,0.002577119,,APPL2,0.49967976,3.06E-05,0.000487969,
AGBL5-IT1,0.445746724,0.000251127,0.002611939,,PLEKHO1,0.499396222,3.09E-05,0.000493243,
RFESD,0.445743502,0.000251156,0.002611939,,CCDC14,0.499323207,3.10E-05,0.000494458,
EPS8L2,0.445733128,0.00025125,0.002611939,,SLC22A15,0.499253464,3.11E-05,0.000495607,
TMEM106B,0.44559854,0.000252466,0.002622416,,FAM70B,0.499136725,3.13E-05,0.000497433,
METTL15,0.44537865,0.000254465,0.002638819,,MYO10,0.499079126,3.13E-05,0.000498332,
RNU5B-1,0.44493775,0.000258517,0.002674219,,PTPLB,0.499031218,3.14E-05,0.000498808,
ZBTB20,0.444851829,0.000259314,0.002681354,,HECW2,0.499026683,3.14E-05,0.000498808,
LOC442459,0.444469526,0.000262885,0.002713815,,SORT1,0.499011636,3.14E-05,0.000498811,
SERTM1,0.444307588,0.000264411,0.00272286,,RMI1,0.498984233,3.15E-05,0.000499075,
FAM200B,0.444179621,0.000265623,0.002733998,,CD24,0.498880538,3.16E-05,0.000500953,
FAS,0.444088364,0.00026649,0.002738659,,NMT2,0.498688289,3.19E-05,0.00050409,
DIS3L,0.443952184,0.000267789,0.00274976,,WWC3,0.49856203,3.20E-05,0.000506151,
C3orf79,0.443822357,0.000269033,0.002761403,,EHD3,0.498447743,3.22E-05,0.000508063,
PLA2G6,0.443527984,0.000271872,0.002782596,,GMEB1,0.498382558,3.23E-05,0.000509044,
NFYC,0.44345324,0.000272598,0.00278775,,IDO1,0.498255151,3.25E-05,0.000511149,
SYNE1,0.443177549,0.000275289,0.002808412,,FOLH1,0.497891898,3.30E-05,0.000518072,
AKR7A2,0.443072591,0.000276319,0.0028155,,LOC100289092,0.497854025,3.30E-05,0.000518576,
ADAMTS9-AS1,0.443037259,0.000276667,0.002817005,,F8A3,0.497674064,3.33E-05,0.000522199,
ARMCX5-GPRASP2,0.442842755,0.000278589,0.002834029,,PDE6D,0.497639275,3.33E-05,0.000522639,
SNORA70D,0.442769483,0.000279316,0.00283798,,PFDN2,0.497348228,3.37E-05,0.000528426,
GPLD1,0.442679433,0.000280212,0.002843635,,SPRED3,0.497329589,3.37E-05,0.000528512,
FLJ42709,0.442518476,0.00028182,0.002856493,,OPA3,0.497283129,3.38E-05,0.000528939,
FASTKD2,0.44241123,0.000282896,0.00286438,,PRUNE2,0.497280822,3.38E-05,0.000528939,
RN5S490,0.442387896,0.00028313,0.002865157,,FLI1,0.497019604,3.42E-05,0.000533822,
C15orf48,0.442287396,0.000284143,0.002873506,,GTDC1,0.497018128,3.42E-05,0.000533822,
AASDH,0.442283321,0.000284184,0.002873506,,AIG1,0.496974877,3.43E-05,0.00053413,
DTX2P1-UPK3BP1-PMS2P11,0.442122674,0.00028581,0.002886461,,FAM108B1,0.49686966,3.44E-05,0.000535834,
LOC254312,0.441928403,0.000287787,0.002900602,,SLC1A4,0.496679077,3.47E-05,0.000539809,
FAS-AS1,0.441571509,0.000291452,0.002934012,,ARHGAP1,0.496023772,3.56E-05,0.000553493,
RIMBP3C,0.441112145,0.000296232,0.002974983,,CPSF1,0.49594603,3.58E-05,0.000554615,
THRA,0.441036203,0.000297029,0.002980606,,NCOR2,0.495887246,3.59E-05,0.000555298,
RBKS,0.440670894,0.000300891,0.003009906,,IFT20,0.495856532,3.59E-05,0.000555671,
PHYHIP,0.440658125,0.000301027,0.003009906,,NOG,0.495781612,3.60E-05,0.000556733,
CLN5,0.440634897,0.000301274,0.00301118,,POLD1,0.495700366,3.61E-05,0.000558288,
TTC30B,0.440514546,0.000302557,0.003021608,,SUV39H1,0.495630738,3.62E-05,0.000559349,
ZNF395,0.440365958,0.000304149,0.003033889,,PLAGL2,0.495625704,3.62E-05,0.000559349,
PPP2R2C,0.440130274,0.00030669,0.003056805,,CKAP4,0.495605312,3.63E-05,0.000559483,
RCOR3,0.439724912,0.000311105,0.003094673,,TULP4,0.495577948,3.63E-05,0.000559782,
CPO,0.439416666,0.000314501,0.003124744,,TTL,0.49552329,3.64E-05,0.00056072,
UBXN10,0.439352951,0.000315207,0.003129286,,GINS2,0.495493293,3.65E-05,0.000561081,
MIR4441,0.439311252,0.00031567,0.003131409,,NEK10,0.495401403,3.66E-05,0.000562899,
SNHG10,0.439171019,0.000317231,0.003143177,,F2RL3,0.495379308,3.66E-05,0.000563075,
SNORA24,0.439067961,0.000318383,0.003152106,,EVI5L,0.495342408,3.67E-05,0.0005636,
NDUFAF4P1,0.438811096,0.000321271,0.003174445,,DZIP1L,0.49528931,3.68E-05,0.000564509,
DPP4,0.438708663,0.000322429,0.003183051,,TGFBRAP1,0.495207978,3.69E-05,0.000565647,
NUDCD3,0.438594289,0.000323727,0.003188685,,TPM2,0.49519738,3.69E-05,0.000565647,
C16orf46,0.438304146,0.000327041,0.003214881,,DNTTIP1,0.495104663,3.70E-05,0.000567499,
NUDT12,0.438282132,0.000327293,0.003214881,,PARVB,0.495023005,3.72E-05,0.000569093,
LOC100132529,0.438272005,0.00032741,0.003214881,,PPP2R5D,0.494755915,3.76E-05,0.000574081,
TOR1AIP2,0.438218083,0.000328029,0.003218979,,PAFAH1B1,0.494727032,3.76E-05,0.000574425,
DCAKD,0.437747077,0.00033349,0.003258037,,CKS2,0.4945726,3.79E-05,0.00057779,
PHF3,0.437574092,0.000335516,0.003272742,,IQSEC1,0.494479665,3.80E-05,0.000579249,
LOC100506687,0.43751969,0.000336155,0.003276988,,SCML2,0.494454088,3.81E-05,0.000579249,
ANKRD18CP,0.437475706,0.000336673,0.003278942,,6-Sep,0.49443348,3.81E-05,0.000579377,
ABAT,0.437230994,0.000339567,0.003302014,,ANKRD20A5P,0.4944198,3.81E-05,0.000579377,
C11orf71,0.437084646,0.000341309,0.003317668,,SCARF2,0.494288681,3.83E-05,0.000582203,
SMPDL3B,0.437032305,0.000341934,0.003321174,,HIVEP2,0.494235754,3.84E-05,0.000582785,
ZNF705E,0.436989959,0.000342441,0.003323547,,GPR56,0.494198323,3.85E-05,0.000583343,
SNORD116-20,0.436839354,0.000344247,0.003339767,,TSC22D1,0.494040726,3.87E-05,0.000586481,
MIR551A,0.436631691,0.000346752,0.003361475,,RPIA,0.493815952,3.91E-05,0.000591642,
MPPE1,0.436517245,0.00034814,0.003371027,,SLC20A1,0.493775149,3.92E-05,0.000592292,
SIRT5,0.43640397,0.000349518,0.003381769,,CMC2,0.493558735,3.95E-05,0.000596933,
CORO2B,0.436318425,0.000350562,0.003387422,,SIPA1L3,0.493488979,3.96E-05,0.000598309,
SLC35A5,0.436292779,0.000350876,0.003388387,,CDC25C,0.49339037,3.98E-05,0.000600065,
OR52H1,0.436160888,0.000352493,0.003402694,,ARHGAP31,0.493389656,3.98E-05,0.000600065,
BNC2,0.435995718,0.000354528,0.00342102,,RALGAPB,0.493284999,4.00E-05,0.00060196,
ARNT,0.435836314,0.000356501,0.003434791,,SLAMF8,0.493205019,4.01E-05,0.000603603,
ROR2,0.435585981,0.000359621,0.003458221,,CLTA,0.493006709,4.04E-05,0.000608028,
LOC283692,0.435425971,0.000361628,0.003472209,,KLF7,0.492901175,4.06E-05,0.000609447,
GAS8,0.435362164,0.000362431,0.003477265,,LDLR,0.492829603,4.07E-05,0.000610896,
PTRHD1,0.435324721,0.000362903,0.003479138,,FADS1,0.492720629,4.09E-05,0.0006133,
DPP10,0.435298595,0.000363233,0.003480972,,LZTS1,0.492645116,4.10E-05,0.000614858,
MLLT4,0.435200513,0.000364473,0.003490197,,KCNH1,0.492532332,4.12E-05,0.000617374,
LOC283174,0.435151809,0.000365091,0.003494778,,PRKCD,0.492397786,4.15E-05,0.000620459,
AP4M1,0.434762916,0.000370054,0.00353556,,CMTM6,0.491884234,4.24E-05,0.000632671,
HMGN5,0.434666289,0.000371297,0.003546086,,RECQL,0.491731761,4.26E-05,0.000635543,
IGSF11,0.434635237,0.000371697,0.00354856,,WRN,0.491617436,4.28E-05,0.000637758,
LYPLAL1,0.434168986,0.000377754,0.003596724,,RAE1,0.491578381,4.29E-05,0.000638075,
TMX4,0.434158809,0.000377887,0.003596724,,ADAMTS1,0.491479339,4.31E-05,0.000640314,
ATP1A1OS,0.434014082,0.000379786,0.003613161,,ADA,0.491464219,4.31E-05,0.000640336,
LOC100287368,0.433694058,0.000384015,0.003645615,,PPP1R12C,0.491414427,4.32E-05,0.000640898,
LOC100506963,0.43369228,0.000384039,0.003645615,,LIN28A,0.491287013,4.34E-05,0.000643843,
NARG2,0.433667439,0.000384369,0.003647372,,TSPAN18,0.491274947,4.34E-05,0.000643843,
SNORD61,0.433578548,0.000385553,0.003657221,,ARL15,0.491203026,4.36E-05,0.000645378,
CDC42EP4,0.433427341,0.000387573,0.003673615,,RCN1,0.491105611,4.37E-05,0.000647217,
TERC,0.433323583,0.000388965,0.003682644,,AFAP1L1,0.491001542,4.39E-05,0.00064924,
HIBADH,0.433231191,0.000390209,0.003691636,,VCAN,0.490912245,4.41E-05,0.000650872,
DCDC5,0.433168033,0.000391061,0.003696915,,TOMM5,0.49083486,4.42E-05,0.000652571,
LOC100506392,0.432989408,0.00039348,0.003716989,,PKMYT1,0.490753776,4.44E-05,0.000654373,
LOC285141,0.432876175,0.000395021,0.00373014,,GBP5,0.490669601,4.45E-05,0.000655684,
TRIM74,0.432856324,0.000395291,0.003731294,,RGS19,0.490662655,4.46E-05,0.000655684,
IQCH,0.432844649,0.00039545,0.003731396,,FXR2,0.490580858,4.47E-05,0.000657514,
MXD4,0.432453244,0.000400823,0.003773594,,FBXO10,0.490421826,4.50E-05,0.000661451,
MAP2K5,0.432413456,0.000401373,0.003777356,,TLN1,0.49028935,4.52E-05,0.000664281,
SKINTL,0.432126939,0.000405353,0.003809109,,WHSC1,0.490257464,4.53E-05,0.000664281,
MKS1,0.43202933,0.000406717,0.003820499,,LOC100505718,0.490250069,4.53E-05,0.000664281,
FAM107B,0.431999712,0.000407132,0.003822966,,CHFR,0.490247317,4.53E-05,0.000664281,
HRSP12,0.431760201,0.0004105,0.003850278,,PLEKHF2,0.489782571,4.62E-05,0.000675534,
PARP8,0.431692284,0.00041146,0.003857839,,FANCG,0.48967711,4.64E-05,0.000678075,
LOC728855,0.431572885,0.000413152,0.00387226,,TMEM38B,0.489639392,4.65E-05,0.000678733,
NT5C3,0.431553779,0.000413423,0.003873359,,PRKCA,0.489336944,4.71E-05,0.000686024,
RMND5B,0.431500784,0.000414177,0.003878973,,MIER2,0.489136526,4.74E-05,0.000690891,
B3GNT1,0.431430025,0.000415185,0.003886965,,PVR,0.489115927,4.75E-05,0.000690982,
ZNF233,0.43137256,0.000416005,0.003890298,,SNORA71C,0.489105106,4.75E-05,0.000690982,
C6orf15,0.431266623,0.000417521,0.003901572,,NAGK,0.488966513,4.78E-05,0.000694521,
EFCAB7,0.430988851,0.00042152,0.003928719,,CKAP5,0.488847745,4.80E-05,0.000697509,
DLGAP2,0.430942642,0.000422189,0.003933431,,GLUD1,0.488772802,4.82E-05,0.000699251,
KIAA1908,0.430932294,0.000422339,0.003933431,,CLN8,0.488628541,4.84E-05,0.000702586,
NQO1,0.43085139,0.000423512,0.003941439,,FLJ32255,0.488559352,4.86E-05,0.000704175,
GTF2IP1,0.43045521,0.000429301,0.003987932,,ZWILCH,0.488382042,4.89E-05,0.000708458,
NIT2,0.430321926,0.000431265,0.004003214,,FAM105B,0.48836908,4.90E-05,0.000708458,
GLS,0.430157285,0.000433702,0.004022864,,ANKRD22,0.488210627,4.93E-05,0.00071229,
MGC57346,0.429813144,0.000438836,0.004062992,,C12orf23,0.488194925,4.93E-05,0.000712297,
TTC30A,0.42974489,0.000439861,0.004069483,,CARD10,0.488036238,4.96E-05,0.000716524,
GPRASP1,0.429668854,0.000441005,0.004078568,,USP39,0.487941412,4.98E-05,0.000718896,
NEK5,0.429356754,0.00044573,0.004117724,,KIAA0754,0.487707219,5.03E-05,0.000725394,
FBXO16,0.42907353,0.000450058,0.004151602,,LAMP2,0.487653843,5.04E-05,0.000726561,
NUDT5,0.429043821,0.000450514,0.004152839,,ZNF474,0.48763415,5.04E-05,0.000726729,
TMEM136,0.429021775,0.000450853,0.004152839,,HDGFRP3,0.487519902,5.07E-05,0.00072971,
LOC100505695,0.428848829,0.000453519,0.004172807,,FHOD3,0.487489939,5.07E-05,0.000730186,
DYNLRB2,0.428578379,0.000457716,0.004202198,,ZNF511,0.487380148,5.10E-05,0.000731373,
LOC100505478,0.428487482,0.000459135,0.004213347,,ADAMTS14,0.487188708,5.14E-05,0.000735849,Bueno2016(Sup.Table 2-Top50)
LOC100505719,0.428418181,0.000460219,0.004216739,,CGB8,0.487052832,5.17E-05,0.000739517,
TCF7L2,0.428145609,0.000464507,0.004250567,,TPGS2,0.486771427,5.23E-05,0.000746773,
SLC26A9,0.428051518,0.000465995,0.004257986,,SERINC2,0.486567526,5.27E-05,0.000751718,
ND1,0.42789692,0.00046845,0.004277308,,PLEKHS1,0.486367863,5.31E-05,0.000757423,
CRB3,0.427885511,0.000468632,0.004277413,,MIR138-1,0.486288841,5.33E-05,0.000759431,
HCG4,0.42772409,0.000471208,0.004297107,,BRCA1,0.486180325,5.35E-05,0.000761787,
NFKBIZ,0.427718228,0.000471302,0.004297107,,LTBP2,0.486170931,5.35E-05,0.000761787,
PITPNM3,0.427595296,0.000473274,0.004311953,,CDC27,0.486149038,5.36E-05,0.000761899,
MIR4796,0.427244001,0.000478948,0.004354186,,TXNDC12,0.485922902,5.41E-05,0.000767335,
LOC100505761,0.427222597,0.000479296,0.004355772,,CCNB2,0.48576106,5.44E-05,0.000771526,
ASH1L,0.426785509,0.000486448,0.004408017,,RGS10,0.485597708,5.48E-05,0.000774913,
MTL5,0.42675696,0.000486918,0.004410691,,AADAT,0.48542658,5.52E-05,0.000778562,
SNORD104,0.426566356,0.00049007,0.004432851,,P2RY6,0.485255507,5.56E-05,0.000783105,
SZT2-AS1,0.426549383,0.000490352,0.004433802,,RCAN3,0.484990437,5.62E-05,0.000789352,
